epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3726.11,0.77774,0.4716,1.0958,0.86525,0.81388,0.84524,0.50764,1.72666,1.25058,1.96774,7.71172e-05,7.71172e-05,7.71172e-05
89,3767.08,0.76648,0.46735,1.07694,0.84248,0.81961,0.84328,0.51019,1.69859,1.25618,1.94537,7.16128e-05,7.16128e-05,7.16128e-05
90,3808.5,0.73313,0.45813,1.07255,0.85572,0.8203,0.83883,0.51811,1.71457,1.23534,1.96518,6.61084e-05,6.61084e-05,6.61084e-05
91,3851.13,0.68061,0.37465,1.01142,0.84966,0.82274,0.83384,0.50384,1.75954,1.19163,2.06809,6.0604e-05,6.0604e-05,6.0604e-05
92,3891.77,0.64942,0.3578,1.00616,0.84886,0.82178,0.83569,0.50203,1.73173,1.26468,2.01133,5.50996e-05,5.50996e-05,5.50996e-05
93,3932.68,0.62149,0.34455,0.98655,0.88035,0.78808,0.84181,0.50775,1.68606,1.2693,1.95964,4.95952e-05,4.95952e-05,4.95952e-05
94,3974.37,0.60859,0.33336,0.97456,0.85314,0.82066,0.85535,0.52531,1.67806,1.24025,1.93579,4.40908e-05,4.40908e-05,4.40908e-05
95,4016.19,0.59288,0.33066,0.96768,0.85237,0.81207,0.84152,0.50645,1.70997,1.23163,1.99137,3.85864e-05,3.85864e-05,3.85864e-05
96,4056.78,0.58019,0.32486,0.96816,0.86318,0.81923,0.844,0.49772,1.69116,1.26359,1.95262,3.3082e-05,3.3082e-05,3.3082e-05
97,4097.63,0.55436,0.31483,0.9496,0.85948,0.81752,0.84526,0.51099,1.68211,1.27257,1.95879,2.75776e-05,2.75776e-05,2.75776e-05
98,4139.6,0.55167,0.31452,0.95018,0.86019,0.80899,0.83946,0.50628,1.6773,1.27736,1.96068,2.20732e-05,2.20732e-05,2.20732e-05
99,4180.2,0.54853,0.30472,0.94255,0.87923,0.80387,0.84591,0.5106,1.67251,1.25632,1.96068,1.65688e-05,1.65688e-05,1.65688e-05
100,4220.91,0.54878,0.30711,0.94174,0.87315,0.80441,0.85036,0.50987,1.67651,1.274,1.95641,1.10644e-05,1.10644e-05,1.10644e-05
